iter	RMSE
0	3611.962701
1	3319.634238
2	3060.898142
3	2810.630738
4	2590.930705
5	2385.063253
6	2206.434096
7	2041.321196
8	1877.282031
9	1734.407374
10	1609.761122
11	1487.475402
12	1381.216109
13	1293.351848
14	1202.371964
15	1130.959207
16	1055.598849
17	992.6464371
18	933.134152
19	883.2965318
20	835.3812985
21	792.5534852
22	756.543415
23	719.9546981
24	688.9568987
25	665.5436011
26	641.6059268
27	620.9388971
28	599.5794399
29	581.5735027
30	565.1619647
31	552.5790213
32	539.3955803
33	526.7043096
34	517.4762316
35	505.403169
36	495.953241
37	487.4226497
38	479.9356399
39	473.7832313
40	468.1462249
41	461.5529786
42	457.8515504
43	453.4757085
44	448.6378571
45	444.1665667
46	440.9307587
47	437.9295478
48	434.5105967
49	431.9433972
50	430.7222071
51	428.2748679
52	425.9788721
53	423.4668294
54	422.1839309
55	420.0670892
56	417.7708998
57	416.6335533
58	414.1243507
59	412.4399004
60	410.67229
61	409.7856049
62	408.2947906
63	407.3404649
64	405.3139338
65	403.2184516
66	402.0775512
67	400.8233815
68	399.5496538
69	397.3497491
70	396.3269235
71	393.8817305
72	392.4408279
73	391.5314818
74	390.5768016
75	389.8156713
76	388.3586888
77	387.6340368
78	385.4910987
79	383.336745
80	381.9782012
81	379.9697531
82	378.7947982
83	377.4318516
84	374.7816505
85	372.7280162
86	372.1296688
87	369.8647064
88	368.2941176
89	366.6658212
90	365.0854256
91	363.2071915
92	363.0071759
93	361.9835255
94	360.7520866
95	359.4666737
96	358.3951842
97	357.3033715
98	355.7082979
99	354.483966
