iter	Passed	Remaining
0	3	383
1	7	389
2	10	340
3	13	329
4	16	320
5	19	308
6	22	300
7	25	293
8	28	283
9	31	280
10	33	273
11	36	267
12	39	263
13	41	257
14	44	250
15	47	248
16	49	243
17	52	239
18	55	236
19	58	232
20	60	228
21	64	227
22	66	223
23	69	218
24	71	213
25	73	209
26	75	205
27	79	203
28	81	200
29	84	196
30	86	192
31	88	188
32	91	185
33	94	182
34	97	180
35	100	179
36	103	176
37	106	172
38	108	170
39	111	167
40	114	164
41	117	161
42	119	158
43	122	155
44	124	152
45	127	149
46	129	146
47	132	143
48	134	140
49	137	137
50	139	134
51	142	131
52	144	128
53	147	126
54	150	122
55	152	120
56	155	116
57	157	114
58	160	111
59	162	108
60	165	105
61	167	102
62	169	99
63	171	96
64	174	93
65	179	92
66	182	89
67	184	86
68	186	83
69	189	81
70	192	78
71	196	76
72	198	73
73	200	70
74	203	67
75	206	65
76	208	62
77	211	59
78	213	56
79	216	54
80	218	51
81	221	48
82	224	45
83	226	43
84	228	40
85	230	37
86	233	34
87	236	32
88	239	29
89	241	26
90	243	24
91	246	21
92	248	18
93	250	16
94	253	13
95	255	10
96	258	7
97	260	5
98	262	2
99	265	0
